node_idx,xgb_score,tgn_score,dyg_score,ensemble_score,risk_level
176,0.4070419,0.0693398,0.6371627,0.39777958,LOW
177,0.6114142,0.2273097,0.99481356,0.6495426,MEDIUM
178,0.29041868,0.31143203,0.7245912,0.47039172,LOW
179,0.49759904,0.33328098,0.89740306,0.6082252,MEDIUM
180,0.3663682,0.55331135,0.9791726,0.6675729,MEDIUM
181,0.0021868048,0.00038202107,0.009760081,0.00467468,LOW
182,0.3399179,0.34861925,0.7749873,0.516556,MEDIUM
183,0.6307676,0.18843293,0.61629015,0.49227622,LOW
184,0.61515164,0.36732048,0.75176436,0.5954474,MEDIUM
185,0.44235387,0.43498728,0.74261653,0.560249,MEDIUM
186,0.32488292,0.44124466,0.8887142,0.5853239,MEDIUM
187,0.42773557,0.34242958,0.77147424,0.53963923,MEDIUM
188,0.36741522,0.48372522,0.9954424,0.6535191,MEDIUM
189,0.54030776,0.6820571,0.9359097,0.74107337,MEDIUM
190,0.37562332,0.34322482,0.6864336,0.49022788,LOW
191,0.4421139,0.65334606,0.7839545,0.6422198,MEDIUM
192,0.4354303,0.34100455,0.73761,0.5279745,MEDIUM
193,0.010068824,0.0029721826,0.27901012,0.11551635,LOW
194,0.33858356,0.2798023,0.7499084,0.48547912,LOW
195,0.42567545,0.3505565,0.6963577,0.5114127,MEDIUM
196,0.3554181,0.34171176,0.77965343,0.5210003,MEDIUM
197,0.21031776,0.17762329,0.6140276,0.36199337,LOW
198,0.39681488,0.29393718,0.9896945,0.6031034,MEDIUM
199,0.35207227,0.5097809,0.99009436,0.6545937,MEDIUM
200,0.43355688,0.28007784,0.65854836,0.4775098,LOW
201,0.55705094,0.54725766,0.8326408,0.6643489,MEDIUM
202,0.5741302,0.3001145,0.81756234,0.58929837,MEDIUM
203,0.36716986,0.44366828,0.99287707,0.6404023,MEDIUM
204,0.391954,0.37481195,0.73507816,0.5240611,MEDIUM
205,0.6316949,0.5192099,0.8757029,0.69555265,MEDIUM
206,0.41128683,0.5415325,0.9913625,0.6823908,MEDIUM
207,0.4334676,0.5608103,0.90202415,0.659093,MEDIUM
208,0.3748764,0.47426787,0.74123764,0.55123836,MEDIUM
209,0.34308067,0.3455142,0.7937614,0.524083,MEDIUM
210,0.6578639,0.37191546,0.9852763,0.70304435,MEDIUM
211,0.069224894,0.0071673305,0.18145984,0.0955016,LOW
212,0.5719244,0.578233,0.8002798,0.66515917,MEDIUM
213,0.43991762,0.8091072,0.75589854,0.6770669,MEDIUM
214,0.49225938,0.6366424,0.8024033,0.65963185,MEDIUM
215,0.4375484,0.4983837,0.92561305,0.6510249,MEDIUM
216,0.65068007,0.40541,0.76808923,0.6240627,MEDIUM
217,0.37503818,0.4965153,0.98037237,0.653615,MEDIUM
218,0.273439,0.22770858,0.7413151,0.44687033,LOW
219,0.31353444,0.44618154,0.9863537,0.6224563,MEDIUM
220,0.3638919,0.36051,0.9357796,0.5916324,MEDIUM
221,0.6348243,0.2365103,0.69358593,0.53883475,MEDIUM
222,0.24037531,0.20786862,0.7769185,0.44524056,LOW
223,0.51255786,0.32102793,0.9863897,0.6446316,MEDIUM
224,0.45934847,0.5002721,0.993729,0.68537784,MEDIUM
225,0.3408544,0.64022654,0.9898024,0.6902453,MEDIUM
226,0.3886354,0.9417024,0.9932634,0.79640675,MEDIUM
227,0.24392681,0.26739317,0.6623766,0.41834664,LOW
228,0.24892819,0.25315094,0.652135,0.41147774,LOW
229,0.38216934,0.62255406,0.97567546,0.6916872,MEDIUM
230,0.26461062,0.27573964,0.9932696,0.55941296,MEDIUM
231,0.20786256,0.1917623,0.6291901,0.37156352,LOW
232,0.29330423,0.24101113,0.61138564,0.40484887,LOW
233,0.4335137,0.3600283,0.7410241,0.5344722,MEDIUM
234,0.2693526,0.31536183,0.56070995,0.39969832,LOW
235,0.31599545,0.28264353,0.6200446,0.42760953,LOW
236,0.086482696,0.19296838,0.6284016,0.33519596,LOW
237,0.20768575,0.2003824,0.5740226,0.3520295,LOW
238,0.17475462,0.17411025,0.5759882,0.33505476,LOW
239,0.39055583,0.42022815,0.6827128,0.51632035,MEDIUM
240,0.4004102,0.28475586,0.7190951,0.49318787,LOW
241,0.20784661,0.20462278,0.5499618,0.34372556,LOW
242,0.37453127,0.39160356,0.6313876,0.4823955,LOW
243,0.3632037,0.3957017,0.7269679,0.5184588,MEDIUM
244,0.3138185,0.27882183,0.6879324,0.45296505,LOW
245,0.21524875,0.16236255,0.5405338,0.32949692,LOW
246,0.35917056,0.33838624,0.66142964,0.47383893,LOW
247,0.4578915,0.42659926,0.7062912,0.5478637,MEDIUM
248,0.37598866,0.5378035,0.81866425,0.6016034,MEDIUM
249,0.30542094,0.25391337,0.99410135,0.5654409,MEDIUM
250,0.39093804,0.43723103,0.75253606,0.5494652,MEDIUM
251,0.3928361,0.39690483,0.80877906,0.5604339,MEDIUM
252,0.60341114,0.37245414,0.98322463,0.68604946,MEDIUM
253,0.14030576,0.2144918,0.6697541,0.3743409,LOW
254,0.37460297,0.44637713,0.9899011,0.6422545,MEDIUM
255,0.34868014,0.28195828,0.7224887,0.478187,LOW
256,0.4435368,0.67241067,0.98862094,0.7302326,MEDIUM
257,0.23238431,0.2779077,0.8697276,0.5009787,MEDIUM
